
2. Fluid Reasoning Index
Question, Correct, Score
1,True,10
2,True,10
3,False,0
4,True,10

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,False,0
3,False,0
4,False,0

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,False,0
3,True,10
4,False,0

2. Fluid Reasoning Index
Question, Correct, Score
1,False,0
2,False,0
3,True,10
4,True,10

3. Fluid Reasoning Index
Question, Score
1,0
2,0
3,5
4,5
Total,10

4. Processing Speed Index
Score, Time

3. Fluid Reasoning Index
Question, Score

4. Processing Speed Index
Score, Time

4. Processing Speed Index
Score, Time

1. Visual Spatial Index
Question, Score
1,8
2,12

1. Visual Spatial Index
Question, Score
1,8
2,12
Total,20

5. Working Memory Index
Question, Score

5. Working Memory Index
Question, Score

5. Working Memory Index
Question, Score

5. Working Memory Index
Question, Score

5. Working Memory Index
Question, Score

5. Working Memory Index
Question, Score

5. Working Memory Index
Question, Score
1,4.29
1,10.41
2,1.43
3,5.71
Total,21.84

2. Verbal Comprehension Index

2. Verbal Comprehension Index
Total ,0

3. Fluid Reasoning Index
Question, Score

6. Reaction Time Index

6. Reaction Time Index
Total ,12

7. Musical Rhythmic Index
Question, Score

7. Musical Rhythmic Index
Question, Score

7. Musical Rhythmic Index
Question, Score
3,0
4,0
5,3
6,3
Total,6

7. Musical Rhythmic Index
Question, Score
1,4.893333
2,4.83

7. Musical Rhythmic Index
Question, Score
3,1
4,0
5,1
6,3
Total,5

7. Musical Rhythmic Index
Question, Score
1,4.9
2,3.96

7. Musical Rhythmic Index
Question, Score
3,0
4,0
5,1
6,1
Total,2

7. Musical Rhythmic Index
Question, Score
1,2.806249
2,3.81
3,0
4,0
5,1
6,3
Total,10.61625
7,4.975,5,1,1,1,1
9,06,135,4.29,1.43,0
6,5,0,0,0
6,
4. Processing Speed Index
Score, Time
3,5,5,0,0
2 ,0
1,10.6699998378754
1,86.67
1,,0
1,,1.33
1,,0
1,,0
0,0
0,0
4, 0
4, 0
4, 0
4, 0
4, 7.5
4, 7.5
4, 7.5
4, 7.5
4, 2.5
4, 2.5
4, 2.5
4, 2.5
4, 2.5
4, 2.5
4, 2.5
4, 2.5
4, 2.5
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 8.4
4, 12
1,0,8,12
